timestamp_ms,adc_value,status,heart_rate_bpm,state
0,3662,0,70,NORMAL
4,3711,0,70,NORMAL
8,3680,0,70,NORMAL
12,3619,0,70,NORMAL
16,3634,0,70,NORMAL
20,3614,0,70,NORMAL
24,3536,0,70,NORMAL
28,3459,0,70,NORMAL
32,3408,0,70,NORMAL
36,3357,0,70,NORMAL
40,3313,0,70,NORMAL
44,3231,0,70,NORMAL
48,3211,0,70,NORMAL
52,3068,0,70,NORMAL
56,3076,0,70,NORMAL
60,2979,0,70,NORMAL
64,2915,0,70,NORMAL
68,2884,0,70,NORMAL
72,2831,0,70,NORMAL
76,2785,0,70,NORMAL
80,2734,0,70,NORMAL
84,2688,0,70,NORMAL
88,2690,0,70,NORMAL
92,2628,0,70,NORMAL
96,2617,0,70,NORMAL
100,2584,0,70,NORMAL
104,2592,0,70,NORMAL
108,2604,0,70,NORMAL
112,2534,0,70,NORMAL
116,2519,0,70,NORMAL
120,2529,0,70,NORMAL
124,2545,0,70,NORMAL
128,2484,0,70,NORMAL
132,2497,0,70,NORMAL
136,2506,0,70,NORMAL
140,2578,0,70,NORMAL
144,2541,0,70,NORMAL
148,2514,0,70,NORMAL
152,2578,0,70,NORMAL
156,2551,0,70,NORMAL
160,2523,0,70,NORMAL
164,2586,0,70,NORMAL
168,2580,0,70,NORMAL
172,2536,0,70,NORMAL
176,2568,0,70,NORMAL
180,2615,0,70,NORMAL
184,2573,0,70,NORMAL
188,2561,0,70,NORMAL
192,2591,0,70,NORMAL
196,2578,0,70,NORMAL
200,2579,0,70,NORMAL
204,2558,0,70,NORMAL
208,2554,0,70,NORMAL
212,2535,0,70,NORMAL
216,2592,0,70,NORMAL
220,2605,0,70,NORMAL
224,2609,0,70,NORMAL
228,2567,0,70,NORMAL
232,2539,0,70,NORMAL
236,2519,0,70,NORMAL
240,2526,0,70,NORMAL
244,2547,0,70,NORMAL
248,2561,0,70,NORMAL
252,2502,0,70,NORMAL
256,2498,0,70,NORMAL
260,2508,0,70,NORMAL
264,2515,0,70,NORMAL
268,2516,0,70,NORMAL
272,2470,0,70,NORMAL
276,2420,0,70,NORMAL
280,2460,0,70,NORMAL
284,2438,0,70,NORMAL
288,2411,0,70,NORMAL
292,2420,0,70,NORMAL
296,2362,0,70,NORMAL
300,2394,0,70,NORMAL
304,2421,0,70,NORMAL
308,2381,0,70,NORMAL
312,2347,0,70,NORMAL
316,2324,0,70,NORMAL
320,2315,0,70,NORMAL
324,2327,0,70,NORMAL
328,2292,0,70,NORMAL
332,2311,0,70,NORMAL
336,2285,0,70,NORMAL
340,2290,0,70,NORMAL
344,2209,0,70,NORMAL
348,2226,0,70,NORMAL
352,2235,0,70,NORMAL
356,2233,0,70,NORMAL
360,2122,0,70,NORMAL
364,2279,0,70,NORMAL
368,2205,0,70,NORMAL
372,2184,0,70,NORMAL
376,2188,0,70,NORMAL
380,2136,0,70,NORMAL
384,2186,0,70,NORMAL
388,2169,0,70,NORMAL
392,2194,0,70,NORMAL
396,2112,0,70,NORMAL
400,2173,0,70,NORMAL
404,2169,0,70,NORMAL
408,2158,0,70,NORMAL
412,2153,0,70,NORMAL
416,2104,0,70,NORMAL
420,2152,0,70,NORMAL
424,2152,0,70,NORMAL
428,2147,0,70,NORMAL
432,2071,0,70,NORMAL
436,2095,0,70,NORMAL
440,2144,0,70,NORMAL
444,2180,0,70,NORMAL
448,2115,0,70,NORMAL
452,2090,0,70,NORMAL
456,2122,0,70,NORMAL
460,2141,0,70,NORMAL
464,2109,0,70,NORMAL
468,2143,0,70,NORMAL
472,2090,0,70,NORMAL
476,2092,0,70,NORMAL
480,2125,0,70,NORMAL
484,2158,0,70,NORMAL
488,2067,0,70,NORMAL
492,2048,0,70,NORMAL
496,2113,0,70,NORMAL
500,2086,0,70,NORMAL
504,2126,0,70,NORMAL
508,2083,0,70,NORMAL
512,2088,0,70,NORMAL
516,2110,0,70,NORMAL
520,2121,0,70,NORMAL
524,2114,0,70,NORMAL
528,2095,0,70,NORMAL
532,2120,0,70,NORMAL
536,2154,0,70,NORMAL
540,2112,0,70,NORMAL
544,2099,0,70,NORMAL
548,2164,0,70,NORMAL
552,2099,0,70,NORMAL
556,2090,0,70,NORMAL
560,2169,0,70,NORMAL
564,2211,0,70,NORMAL
568,2176,0,70,NORMAL
572,2133,0,70,NORMAL
576,2123,0,70,NORMAL
580,2223,0,70,NORMAL
584,2174,0,70,NORMAL
588,2233,0,70,NORMAL
592,2153,0,70,NORMAL
596,2235,0,70,NORMAL
600,2232,0,70,NORMAL
604,2241,0,70,NORMAL
608,2236,0,70,NORMAL
612,2280,0,70,NORMAL
616,2269,0,70,NORMAL
620,2305,0,70,NORMAL
624,2307,0,70,NORMAL
628,2308,0,70,NORMAL
632,2362,0,70,NORMAL
636,2320,0,70,NORMAL
640,2359,0,70,NORMAL
644,2358,0,70,NORMAL
648,2355,0,70,NORMAL
652,2378,0,70,NORMAL
656,2357,0,70,NORMAL
660,2410,0,70,NORMAL
664,2421,0,70,NORMAL
668,2411,0,70,NORMAL
672,2438,0,70,NORMAL
676,2415,0,70,NORMAL
680,2462,0,70,NORMAL
684,2467,0,70,NORMAL
688,2464,0,70,NORMAL
692,2462,0,70,NORMAL
696,2457,0,70,NORMAL
700,2493,0,70,NORMAL
704,2469,0,70,NORMAL
708,2441,0,70,NORMAL
712,2485,0,70,NORMAL
716,2530,0,70,NORMAL
720,2496,0,70,NORMAL
724,2500,0,70,NORMAL
728,2535,0,70,NORMAL
732,2509,0,70,NORMAL
736,2537,0,70,NORMAL
740,2517,0,70,NORMAL
