timestamp_ms,adc_value,status,heart_rate_bpm,state,loop_number,log_timestamp
260000,3681,0,70,NORMAL,261,2026-01-27T20:49:15.917867
260004,3739,0,70,NORMAL,261,2026-01-27T20:49:15.917867
260008,3675,0,70,NORMAL,261,2026-01-27T20:49:15.917867
260012,3578,0,70,NORMAL,261,2026-01-27T20:49:15.917867
260016,3623,0,70,NORMAL,261,2026-01-27T20:49:15.917867
260020,3537,0,70,NORMAL,261,2026-01-27T20:49:15.917867
260024,3534,0,70,NORMAL,261,2026-01-27T20:49:15.917867
260028,3482,0,70,NORMAL,261,2026-01-27T20:49:15.917867
260032,3419,0,70,NORMAL,261,2026-01-27T20:49:15.917867
260036,3309,0,70,NORMAL,261,2026-01-27T20:49:15.917867
260040,3325,0,70,NORMAL,261,2026-01-27T20:49:15.917867
260044,3271,0,70,NORMAL,261,2026-01-27T20:49:15.917867
260048,3215,0,70,NORMAL,261,2026-01-27T20:49:15.917867
260052,3063,0,70,NORMAL,261,2026-01-27T20:49:15.917867
260056,3051,0,70,NORMAL,261,2026-01-27T20:49:15.917867
260060,2986,0,70,NORMAL,261,2026-01-27T20:49:15.917867
260064,2891,0,70,NORMAL,261,2026-01-27T20:49:15.917867
260068,2852,0,70,NORMAL,261,2026-01-27T20:49:15.917867
260072,2790,0,70,NORMAL,261,2026-01-27T20:49:15.917867
260076,2774,0,70,NORMAL,261,2026-01-27T20:49:15.917867
260080,2725,0,70,NORMAL,261,2026-01-27T20:49:15.917867
260084,2703,0,70,NORMAL,261,2026-01-27T20:49:15.917867
260088,2670,0,70,NORMAL,261,2026-01-27T20:49:15.917867
260092,2582,0,70,NORMAL,261,2026-01-27T20:49:15.917867
260096,2606,0,70,NORMAL,261,2026-01-27T20:49:15.917867
260100,2562,0,70,NORMAL,261,2026-01-27T20:49:15.917867
260104,2590,0,70,NORMAL,261,2026-01-27T20:49:15.917867
260108,2523,0,70,NORMAL,261,2026-01-27T20:49:15.917867
260112,2519,0,70,NORMAL,261,2026-01-27T20:49:15.917867
260116,2519,0,70,NORMAL,261,2026-01-27T20:49:15.917867
260120,2564,0,70,NORMAL,261,2026-01-27T20:49:15.917867
260124,2538,0,70,NORMAL,261,2026-01-27T20:49:15.917867
260128,2541,0,70,NORMAL,261,2026-01-27T20:49:15.917867
