timestamp_ms,adc_value,status,heart_rate_bpm,state,loop_number,log_timestamp
260000,3650,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260004,3646,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260008,3668,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260012,3626,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260016,3617,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260020,3557,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260024,3571,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260028,3474,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260032,3441,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260036,3355,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260040,3347,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260044,3235,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260048,3209,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260052,3154,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260056,3048,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260060,2985,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260064,2904,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260068,2878,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260072,2774,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260076,2745,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260080,2752,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260084,2650,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260088,2694,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260092,2612,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260096,2589,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260100,2535,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260104,2612,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260108,2547,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260112,2495,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260116,2518,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260120,2522,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260124,2513,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260128,2526,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260132,2497,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260136,2513,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260140,2575,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260144,2506,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260148,2542,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260152,2554,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260156,2544,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260160,2530,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260164,2600,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260168,2599,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260172,2549,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260176,2598,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260180,2616,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260184,2602,0,70,NORMAL,261,2026-03-10T15:14:02.679720
260188,2624,0,70,NORMAL,261,2026-03-10T15:14:02.679720
