timestamp_ms,adc_value,status,heart_rate_bpm,state,loop_number,log_timestamp
260000,3729,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260004,3677,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260008,3681,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260012,3662,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260016,3601,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260020,3636,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260024,3505,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260028,3451,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260032,3427,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260036,3402,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260040,3301,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260044,3292,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260048,3166,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260052,3041,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260056,3044,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260060,2926,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260064,2940,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260068,2870,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260072,2866,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260076,2785,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260080,2800,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260084,2692,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260088,2695,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260092,2619,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260096,2563,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260100,2580,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260104,2561,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260108,2559,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260112,2518,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260116,2542,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260120,2525,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260124,2563,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260128,2547,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260132,2533,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260136,2495,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260140,2528,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260144,2504,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260148,2499,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260152,2529,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260156,2540,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260160,2573,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260164,2637,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260168,2595,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260172,2574,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260176,2543,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260180,2596,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260184,2598,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260188,2587,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260192,2577,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260196,2584,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260200,2608,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260204,2640,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260208,2585,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260212,2613,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260216,2491,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260220,2525,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260224,2605,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260228,2595,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260232,2545,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260236,2592,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260240,2582,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260244,2598,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260248,2507,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260252,2470,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260256,2513,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260260,2466,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260264,2540,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260268,2464,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260272,2487,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260276,2415,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260280,2443,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260284,2439,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260288,2414,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260292,2363,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260296,2420,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260300,2355,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260304,2402,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260308,2373,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260312,2293,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260316,2282,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260320,2336,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260324,2352,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260328,2308,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260332,2251,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260336,2301,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260340,2254,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260344,2257,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260348,2227,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260352,2181,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260356,2240,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260360,2251,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260364,2236,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260368,2237,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260372,2163,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260376,2204,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260380,2215,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260384,2201,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260388,2163,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260392,2123,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260396,2153,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260400,2215,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260404,2153,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260408,2136,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260412,2116,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260416,2137,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260420,2137,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260424,2107,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260428,2199,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260432,2108,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260436,2095,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260440,2153,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260444,2132,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260448,2118,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260452,2053,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260456,2116,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260460,2114,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260464,2104,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260468,2132,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260472,2077,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260476,2074,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260480,2091,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260484,2147,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260488,2037,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260492,2128,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260496,2046,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260500,2126,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260504,2098,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260508,2087,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260512,2076,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260516,2173,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260520,2155,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260524,2084,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260528,2135,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260532,2126,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260536,2084,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260540,2114,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260544,2158,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260548,2150,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260552,2139,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260556,2173,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260560,2150,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260564,2175,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260568,2171,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260572,2180,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260576,2159,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260580,2145,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260584,2184,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260588,2190,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260592,2212,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260596,2208,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260600,2221,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260604,2218,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260608,2182,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260612,2154,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260616,2245,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260620,2267,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260624,2336,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260628,2316,0,70,NORMAL,261,2026-03-10T16:26:06.965352
260632,2269,0,70,NORMAL,261,2026-03-10T16:26:06.965352
